log hfd,log mmb,log abt
1.05284778,0.8571515,0.87273883
1.05327057,0.8573325,0.87314615
1.0534626,0.85775452,0.87337874
1.0541149,0.85805572,0.87413378
1.05434489,0.85823634,0.87430783
1.05453645,0.85829652,0.87436584
1.05530186,0.85835671,0.87540856
1.05560765,0.85847704,0.87569776
1.05564586,0.85889796,0.87644879
1.0561041,0.85907822,0.87644879
1.0566381,0.8593785,0.87656421
1.05694295,0.85961858,0.8767373
1.05705721,0.85961858,0.87708326
1.05774216,0.85985852,0.87737135
1.05778018,0.86003839,0.87754411
1.05835009,0.86021818,0.87811948
1.05880549,0.86033801,0.87863667
1.05933618,0.86051768,0.87875152
1.0606223,0.86057755,0.87903851
1.06069784,0.8608768,0.87903851
1.06081112,0.86111604,0.87915325
1.06122623,0.86117584,0.87961191
1.06167862,0.86117584,0.8797265
1.06205525,0.86123562,0.88001284
1.06220581,0.86135516,0.88024178
1.06280753,0.86153441,0.88024178
1.06284511,0.86153441,0.88081359
1.06303297,0.86165387,0.88109922
1.06378356,0.8617733,0.88109922
1.06419584,0.861833,0.88115632
1.06419584,0.86189269,0.88172694
1.06509399,0.86213138,0.88184097
1.06528087,0.86219103,0.88241068
1.06595298,0.86254877,0.88252454
1.06602759,0.86266795,0.88258145
1.06625136,0.86296576,0.88343429
1.06703364,0.86296576,0.88417207
1.06796309,0.86308483,0.88456881
1.0685569,0.86326336,0.8846821
1.06859398,0.8635013,0.88485198
1.07059193,0.8635013,0.88519154
1.07081336,0.86373911,0.88536122
1.0720292,0.86379854,0.88564387
1.07213956,0.86409557,0.88603928
1.07228667,0.86415496,0.88615218
1.07324165,0.86462972,0.88626506
1.07327834,0.86462972,0.88626506
1.0734984,0.86522246,0.88643432
1.07382828,0.86551852,0.88649073
1.07529142,0.86563689,0.88660351
1.07598468,0.86575522,0.88677264
1.07711343,0.86605092,0.88705438
1.07744058,0.86616915,0.88801091
1.07758591,0.86622825,0.88874096
1.07823925,0.86628734,0.8893017
1.07856556,0.8664055,0.89008553
1.07881918,0.86646457,0.89042102
1.07896404,0.86664172,0.89047691
1.07918125,0.86670076,0.89064454
1.07939834,0.86687781,0.8907004
1.0798322,0.86723171,0.89114703
1.08159931,0.86758533,0.89137017
1.08195907,0.86799751,0.89153746
1.08256996,0.86799751,0.89198323
1.08260587,0.86817404,0.89203892
1.08267768,0.86852689,0.8920946
1.08493357,0.86858567,0.89231726
1.08554031,0.8689969,0.89265103
1.08614619,0.86911433,0.89270664
1.08735543,0.86917303,0.89276223
1.08795879,0.86923172,0.89309567
1.08813609,0.86952506,0.89370629
1.08863214,0.86987681,0.89409443
1.08905688,0.86993541,0.89475899
1.08990511,0.87011116,0.89498029
1.09011691,0.87022828,0.89520147
1.09071645,0.87040391,0.89542255
1.09082216,0.87046243,0.89586435
1.09092785,0.87063796,0.89602991
1.09120956,0.87063796,0.89602991
1.09166696,0.87069646,0.8969669
1.092159,0.87093036,0.89718708
1.09229948,0.87104726,0.89757211
1.0923697,0.87139778,0.89762709
1.0925803,0.87151456,0.89801174
1.09282587,0.87209797,0.89845092
1.0931414,0.87238939,0.8994922
1.09328157,0.8725059,0.89954693
1.0933166,0.87268061,0.89954693
1.09366678,0.87285524,0.89960166
1.09384177,0.8736112,0.90003924
1.09464579,0.87378546,0.90058559
1.09558775,0.8739016,0.90118578
1.09590128,0.87407575,0.90140383
1.09604055,0.8745398,0.90145832
1.09607537,0.8745398,0.90162176
1.09638855,0.87471369,0.90178515
1.09656244,0.87471369,0.90183959
1.09663198,0.87482958,0.90227492
1.09704897,0.87488751,0.90249242
1.09725731,0.87529283,0.90270981
1.09743085,0.8753507,0.9029814
1.09829754,0.87552426,0.90308999
1.09857451,0.87552426,0.90330708
1.09878212,0.87575558,0.90341559
1.09881672,0.87581339,0.90363252
1.09923162,0.87604455,0.90406605
1.09947346,0.87616008,0.90460736
1.10006022,0.87639106,0.90498588
1.10054285,0.87639106,0.90509397
1.10198752,0.87679498,0.90509397
1.10198752,0.87685265,0.90509397
1.10260519,0.87691031,0.90525605
1.10339317,0.87702562,0.90681972
1.10400885,0.87725613,0.90741136
1.10424805,0.87731374,0.90751885
1.10452125,0.87742894,0.9076263
1.10496485,0.87748653,0.90768002
1.10503305,0.87760168,0.90768002
1.10516943,0.87794695,0.90784114
1.10602082,0.87817698,0.90805587
1.1067347,0.87823447,0.90837777
1.10680263,0.87829195,0.90837777
1.10693845,0.87903851,0.90853863
1.10704029,0.87909588,0.90875302
1.10710817,0.87915325,0.90918148
1.10731175,0.87921061,0.90993026
1.10785415,0.87926796,0.91083776
1.10798964,0.8793253,0.91105102
1.10822666,0.8793253,0.91142397
1.10890313,0.87938264,0.91153046
1.10907208,0.8795546,0.9115837
1.10913964,0.87966921,0.9115837
1.10927474,0.87978378,0.91179659
1.10951105,0.87984106,0.91254088
1.11001701,0.88007008,0.912594
1.11008442,0.88007008,0.91434316
1.1108926,0.88024178,0.91497747
1.11173286,0.8803562,0.91513591
1.11250446,0.8804134,0.9152415
1.11273902,0.88047059,0.91529428
1.11277252,0.88047059,0.91529428
1.11300694,0.88047059,0.9154526
1.11320777,0.88075644,0.91555812
1.11377628,0.88081359,0.91561086
1.11404356,0.88081359,0.91576907
1.11501107,0.88115632,0.91597991
1.11590992,0.88206894,0.91619066
1.11600968,0.88206894,0.91650659
1.11624236,0.88212592,0.91676968
1.11647491,0.88252454,0.91682228
1.11670734,0.88252454,0.91708519
1.1175033,0.88269526,0.91724286
1.11776829,0.88286592,0.91745299
1.12031064,0.8831502,0.917768
1.12067262,0.88326386,0.91782048
1.12113289,0.88332068,0.91787296
1.12178957,0.88332068,0.91797788
1.12224865,0.88343429,0.91834493
1.12234697,0.88349109,0.91865929
1.1224125,0.88360466,0.91939193
1.12296909,0.88405865,0.91970553
1.12313266,0.88405865,0.9199667
1.1234923,0.88417207,0.92038424
1.12381899,0.88439883,0.92069713
1.12476498,0.88462546,0.92069713
1.12538366,0.88479536,0.92080138
1.12557885,0.88519154,0.92121812
1.12587147,0.88530467,0.92153041
1.12613141,0.88536122,0.92158244
1.12622884,0.88553083,0.92173848
1.12626132,0.88615218,0.92179049
1.12632626,0.8866599,0.92184248
1.12658593,0.88716702,0.92215433
1.12674814,0.88727963,0.92215433
1.12746116,0.8874485,0.92220628
1.12810835,0.88756104,0.92251786
1.12817301,0.88778603,0.92308852
1.1288837,0.88789849,0.92324402
1.12914185,0.88789849,0.92334766
1.12965767,0.88801091,0.92433098
1.12975432,0.88812331,0.924796
1.12988316,0.88829185,0.92531209
1.13007633,0.88829185,0.92608509
1.13033377,0.88846032,0.92608509
1.13136199,0.88846032,0.92629099
1.1319393,0.88846032,0.92644535
1.13203544,0.88874096,0.92649679
1.13219563,0.88879707,0.92654822
1.13296373,0.88890926,0.92670249
1.13296373,0.88890926,0.92675391
1.13331532,0.88924566,0.92701087
1.13395384,0.8893017,0.92731902
1.13398575,0.88980575,0.9274217
1.13455958,0.88997364,0.92793468
1.13490988,0.89025331,0.92824218
1.13583205,0.89030922,0.92829341
1.13627654,0.89042102,0.92839585
1.13672057,0.89047691,0.9287542
1.13687904,0.89086794,0.92885653
1.13691073,0.8909796,0.92885653
1.1369741,0.89120283,0.92906112
1.13713248,0.89125862,0.92936783
1.13738576,0.8913144,0.92941893
1.13763891,0.8913144,0.92941893
1.13836586,0.89164894,0.92962325
1.13852374,0.89170468,0.92977643
1.13864999,0.89192753,0.93018465
1.13909161,0.89198323,0.93023565
1.13915466,0.89203892,0.93038862
1.14063373,0.8920946,0.93038862
1.14116747,0.89226161,0.93064344
1.14129296,0.89231726,0.93064344
1.14151248,0.89231726,0.93120353
1.14154383,0.89248418,0.93130528
1.14198252,0.89248418,0.93140701
1.14282729,0.89265103,0.93171207
1.14323345,0.89292898,0.9318137
1.14432508,0.89315121,0.93222001
1.14469872,0.89320675,0.93247376
1.14519641,0.89320675,0.93272737
1.14569352,0.89331781,0.93293014
1.14612804,0.89331781,0.93348729
1.14619007,0.89392813,0.93368971
1.14702672,0.89426066,0.93409427
1.14708862,0.89442684,0.93429641
1.14755266,0.89470365,0.9348518
1.14779995,0.89475899,0.9348518
1.14795443,0.8950356,0.93500315
1.14798532,0.8950909,0.93505359
1.14804709,0.89525675,0.93555765
1.14869518,0.89536729,0.93560802
1.14869518,0.8954778,0.93565839
1.14881851,0.8954778,0.9357591
1.14998846,0.8956435,0.9357591
1.15109392,0.89569873,0.93580945
1.15244124,0.89569873,0.93626234
1.15256351,0.89569873,0.9364132
1.15283851,0.89586435,0.93656401
1.15350999,0.89614025,0.93661426
1.15369294,0.89614025,0.93711651
1.15421088,0.89625056,0.9371667
1.15430222,0.89652622,0.9371667
1.15451527,0.89669153,0.9378688
1.15466738,0.8968017,0.93831954
1.15475862,0.89729712,0.93856976
1.15527529,0.89729712,0.93871981
1.15533604,0.89751713,0.93886982
1.15557893,0.89817648,0.93891981
1.15591269,0.89845092,0.93926959
1.15615526,0.89856064,0.93946933
1.15642799,0.89872518,0.93966898
1.1567611,0.89899927,0.93986854
1.15682164,0.89921842,0.94016771
1.15715444,0.89954693,0.94021756
1.15763806,0.89954693,0.94036705
1.15787967,0.8998752,0.94061608
1.15836249,0.89998456,0.94121319
1.15836249,0.90014856,0.94121319
1.15899538,0.90074936,0.94126291
1.15908571,0.90074936,0.94131263
